Time,Extension,Load
(sec),(mm),(N)
54.30000,-6.10865,-25.79360
54.40000,-6.11852,-25.82783
54.50000,-6.12852,-25.87683
54.60000,-6.13852,-25.91916
54.70000,-6.14892,-25.97619
54.80000,-6.15878,-26.01279
54.90000,-6.16865,-26.05174
55.00000,-6.17905,-26.11322
55.10000,-6.18865,-26.14352
55.20000,-6.19878,-26.18992
55.30000,-6.20892,-26.24534
55.40000,-6.21852,-26.27699
55.50000,-6.22879,-26.32893
55.60000,-6.23865,-26.38118
55.70000,-6.24852,-26.42413
55.80000,-6.25865,-26.46901
55.90000,-6.26852,-26.51351
56.00000,-6.27865,-26.56339
56.10000,-6.28878,-26.61540
56.20000,-6.29878,-26.65459
56.30000,-6.30865,-26.71039
56.40000,-6.31865,-26.75708
56.50000,-6.32892,-26.80837
56.60000,-6.33865,-26.85110
56.70000,-6.34878,-26.89678
56.80000,-6.35878,-26.94334
56.90000,-6.36852,-26.98313
57.00000,-6.37892,-27.02851
57.10000,-6.38865,-27.08082
57.20000,-6.39852,-27.11862
57.30000,-6.40892,-27.17358
57.40000,-6.41865,-27.21801
57.50000,-6.42878,-27.26806
57.60000,-6.43892,-27.31084
57.70000,-6.44878,-27.36552
57.80000,-6.45878,-27.41144
57.90000,-6.46892,-27.45900
58.00000,-6.47878,-27.50053
58.10000,-6.48878,-27.54911
58.20000,-6.49892,-27.59537
58.30000,-6.50878,-27.64933
58.40000,-6.51852,-27.69102
58.50000,-6.52892,-27.75219
58.60000,-6.53878,-27.80043
58.70000,-6.54852,-27.83949
58.80000,-6.55905,-27.89747
58.90000,-6.56878,-27.94211
59.00000,-6.57878,-27.98952
59.10000,-6.58892,-28.04330
59.20000,-6.59838,-28.09021
59.30000,-6.60878,-28.14583
59.40000,-6.61892,-28.18926
59.50000,-6.62865,-28.23200
59.60000,-6.63865,-28.28692
59.70000,-6.64852,-28.33275
59.80000,-6.65865,-28.37546
59.90000,-6.66852,-28.43105
60.00000,-6.67878,-28.48714
60.10000,-6.68878,-28.54799
60.20000,-6.69852,-28.58176
60.30000,-6.70905,-28.63787
60.40000,-6.71865,-28.68017
60.50000,-6.72865,-28.72556
60.60000,-6.73905,-28.78105
60.70000,-6.74852,-28.82603
60.80000,-6.75865,-28.87997
60.90000,-6.76892,-28.93702
61.00000,-6.77838,-28.97979
61.10000,-6.78865,-29.04017
61.20000,-6.79892,-29.09213
61.30000,-6.80865,-29.14367
61.40000,-6.81878,-29.19636
61.50000,-6.82878,-29.24610
61.60000,-6.83878,-29.29506
61.70000,-6.84878,-29.35466
61.80000,-6.85892,-29.40495
61.90000,-6.86878,-29.45572
62.00000,-6.87865,-29.50148
62.10000,-6.88892,-29.56559
62.20000,-6.89852,-29.60819
62.30000,-6.90865,-29.66360
62.40000,-6.91878,-29.73109
62.50000,-6.92852,-29.77142
62.60000,-6.93892,-29.82914
62.70000,-6.94878,-29.89637
